Time,Energy 1,Energy 2,Total,Scatterer,Absorber
41084848,271.509116,397.254141,668.763257,2,5
41176454,280.924282,384.409512,665.333793,2,8
41193509,274.146598,405.890680,680.037278,1,7
41233687,256.525282,403.426186,659.951467,1,8
41281782,267.464001,383.841025,651.305026,2,7
41363068,199.108608,448.395458,647.504066,1,6
41592925,366.953728,306.635451,673.589179,1,7
41651742,274.954377,412.841758,687.796135,4,7
41978641,251.401885,366.511805,617.913690,4,7
41996012,282.441093,409.034037,691.475130,2,5
42098883,249.204190,453.804089,703.008279,2,6
42101996,271.009050,392.099820,663.108870,2,8
42132201,262.515350,407.593665,670.109014,1,8
42153232,234.214850,375.368448,609.583298,2,6
42155207,275.818538,363.559119,639.377658,2,8
42176912,245.452266,417.246550,662.698816,1,5
42183354,235.687848,410.346512,646.034360,1,5
42184983,224.921082,441.126010,666.047092,1,6
42756673,284.323100,367.877534,652.200634,3,7
42896478,326.858994,351.539526,678.398520,3,8
43140360,223.341911,415.911773,639.253684,2,7
43174962,395.610652,250.040284,645.650936,1,7
43693121,449.089174,236.396211,685.485386,3,8
43845538,258.678322,403.691610,662.369932,3,5
43866638,176.377593,495.929297,672.306890,3,5
43876341,170.284732,480.961722,651.246454,3,7
43992784,207.810292,449.894522,657.704814,3,7
44152944,361.612229,275.362741,636.974970,3,8
44583911,239.000232,404.807913,643.808145,1,8
44627301,246.266798,419.581687,665.848485,2,6
44691040,224.574638,460.588302,685.162941,1,6
44729218,256.727072,417.415801,674.142873,1,7
44839671,236.050321,428.467533,664.517855,2,6
45053121,292.433450,427.815344,720.248794,4,6
45101101,221.305613,435.183840,656.489453,2,7
45115993,238.979327,390.404520,629.383847,2,6
45395816,241.175516,354.914428,596.089944,3,6
45396028,251.483179,395.448231,646.931410,4,7
45519385,260.027684,406.279722,666.307406,1,5
45798591,283.457710,418.363625,701.821335,2,8
45880605,259.907288,436.663654,696.570942,1,7
46015405,242.906073,421.391287,664.297360,3,7
46034605,365.034470,321.989840,687.024310,3,7
46280365,211.731631,517.878648,729.610279,1,6
46485822,235.940849,422.502075,658.442924,3,8
47213782,272.487911,370.400518,642.888429,3,7
47215098,267.341906,381.832406,649.174313,2,8
47701214,249.188393,411.483969,660.672362,1,8
47707658,244.586621,440.190332,684.776953,4,8
47764822,517.813959,142.696969,660.510928,2,7
47823461,196.042585,454.098832,650.141417,2,6
47904282,436.161049,250.604540,686.765589,3,8
48099105,547.316773,150.073511,697.390284,2,5
48219866,263.852582,404.092654,667.945236,3,5
48222681,230.023556,395.637561,625.661117,1,5
48319471,178.412566,480.144809,658.557375,4,8
48566829,275.826264,373.816403,649.642667,3,6
49123409,246.967817,367.881528,614.849346,2,6
49313883,276.105243,298.381127,574.486370,2,6
49389455,432.527337,300.214368,732.741706,3,6
49686724,241.590357,396.608734,638.199092,4,8
49757237,265.642043,376.930771,642.572814,4,6
49840042,276.804815,387.066625,663.871439,3,5
49939994,236.541814,440.039049,676.580863,3,8
49948789,241.933160,423.953935,665.887094,2,7
49997834,271.636806,415.713054,687.349860,4,8
50207009,146.919950,410.063850,556.983800,2,6
50253936,221.015814,442.627793,663.643607,2,7
50366156,224.707778,425.701752,650.409530,4,8
50535524,241.275211,414.791412,656.066623,1,6
50537583,515.329472,156.645851,671.975323,4,6
50545841,257.865988,427.699612,685.565600,2,8
50596895,226.504222,429.778772,656.282994,1,5
50744474,260.820637,403.600872,664.421508,1,7
50752398,168.582091,483.950802,652.532893,1,8
51055859,275.172323,377.444549,652.616872,2,8
51288284,296.476397,368.207035,664.683432,4,7
51335518,241.947571,404.583341,646.530912,4,5
51359810,225.802134,489.025935,714.828070,3,8
51370551,269.029134,379.762193,648.791327,2,5
51421337,244.373043,440.020125,684.393168,1,5
51445546,268.835771,396.392564,665.228335,4,5
51539488,212.645071,423.874403,636.519474,4,5
51542375,262.184084,332.994474,595.178558,3,6
